name,region,variable,value
Morocco,Africa,maternal_mortality,70
Morocco,Africa,infant_mortality,17.8
Morocco,Africa,life_expectancy,74.2
Belize,Central America and the Caribbean,maternal_mortality,67
Belize,Central America and the Caribbean,infant_mortality,11.3
Belize,Central America and the Caribbean,life_expectancy,74.3
"Korea, North",East and Southeast Asia,maternal_mortality,67
"Korea, North",East and Southeast Asia,infant_mortality,14.7
"Korea, North",East and Southeast Asia,life_expectancy,73.5
Tonga,Australia and Oceania,maternal_mortality,67
Tonga,Australia and Oceania,infant_mortality,11.5
Tonga,Australia and Oceania,life_expectancy,78
Brazil,South America,maternal_mortality,67
Brazil,South America,infant_mortality,12.7
Brazil,South America,life_expectancy,76.3
Iraq,Middle East,maternal_mortality,66
Iraq,Middle East,infant_mortality,18.3
Iraq,Middle East,life_expectancy,73.7
Mauritius,Africa,maternal_mortality,66
Mauritius,Africa,infant_mortality,11.4
Mauritius,Africa,life_expectancy,75.4
Algeria,Africa,maternal_mortality,62
Algeria,Africa,infant_mortality,18.6
Algeria,Africa,life_expectancy,77.9
Nicaragua,Central America and the Caribbean,maternal_mortality,60
Nicaragua,Central America and the Caribbean,infant_mortality,14.1
Nicaragua,Central America and the Caribbean,life_expectancy,74.7
Colombia,South America,maternal_mortality,59
Colombia,South America,infant_mortality,11.6
Colombia,South America,life_expectancy,74.9
Libya,Africa,maternal_mortality,59
Libya,Africa,infant_mortality,10.4
Libya,Africa,life_expectancy,77.7
Paraguay,South America,maternal_mortality,58
Paraguay,South America,infant_mortality,21.4
Paraguay,South America,life_expectancy,78.8
Saint Vincent and the Grenadines,Central America and the Caribbean,maternal_mortality,56
Saint Vincent and the Grenadines,Central America and the Caribbean,infant_mortality,12
Saint Vincent and the Grenadines,Central America and the Caribbean,life_expectancy,77.2
Ecuador,South America,maternal_mortality,55
Ecuador,South America,infant_mortality,11.2
Ecuador,South America,life_expectancy,74.9
Trinidad and Tobago,Central America and the Caribbean,maternal_mortality,54
Trinidad and Tobago,Central America and the Caribbean,infant_mortality,14.7
Trinidad and Tobago,Central America and the Caribbean,life_expectancy,76.5
Peru,South America,maternal_mortality,51
Peru,South America,infant_mortality,10.6
Peru,South America,life_expectancy,68.9
Grenada,Central America and the Caribbean,maternal_mortality,48
Grenada,Central America and the Caribbean,infant_mortality,8.8
Grenada,Central America and the Caribbean,life_expectancy,76.3
Vietnam,East and Southeast Asia,maternal_mortality,48
Vietnam,East and Southeast Asia,infant_mortality,13.8
Vietnam,East and Southeast Asia,life_expectancy,76.1
Bhutan,South Asia,maternal_mortality,47
Bhutan,South Asia,infant_mortality,23
Bhutan,South Asia,life_expectancy,73.7
Honduras,Central America and the Caribbean,maternal_mortality,47
Honduras,Central America and the Caribbean,infant_mortality,15.4
Honduras,Central America and the Caribbean,life_expectancy,73.1
Saint Lucia,Central America and the Caribbean,maternal_mortality,44
Saint Lucia,Central America and the Caribbean,infant_mortality,11.3
Saint Lucia,Central America and the Caribbean,life_expectancy,79.4
Kyrgyzstan,Central Asia,maternal_mortality,42
Kyrgyzstan,Central Asia,infant_mortality,24
Kyrgyzstan,Central Asia,life_expectancy,72.9
Mexico,North America,maternal_mortality,42
